,linha,produto,mes,retail,quantidade
0,1,1,1,0,285.0
1,1,1,2,1,192.0
2,1,1,3,2,209.0
3,1,1,4,3,292.0
4,1,2,1,4,185.0
5,1,2,2,5,161.0
6,1,2,3,6,158.0
7,1,2,4,7,165.0
8,2,3,3,10,22.0
9,2,3,4,11,66.0
10,2,4,1,12,56.0
11,2,4,2,14,30.0
12,2,4,4,18,81.0
13,2,3,1,8,199.0
14,2,3,2,9,131.0
15,3,4,1,13,56.0
16,3,4,4,19,81.0
17,3,5,1,20,98.0
18,3,5,2,21,68.0
19,3,5,3,22,92.0
20,3,5,4,23,80.0
21,3,6,1,24,251.0
22,3,6,2,26,294.0
23,4,6,1,25,251.0
24,4,6,2,27,229.0
25,4,7,1,32,156.0
26,4,7,2,34,152.0
27,5,7,1,33,156.0
28,5,7,2,35,211.0
